,Row ID,Order ID,Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
58888,272294,272294,2019-06-13,2019-06-13,4,HOM201,HOME DEPOT.CA,DETI,CA,TORONTO,,M3C 4H9,900-1 CONCORDE GATE,CB00006,SBI,CB00006,CW2900-I ENCASTRABLE À BOIS,1046.76,1,0.0,525
58891,161620,161620,2015-09-29,2015-09-29,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000,1712.52,1,0.0,525
58892,238198,238198,2018-07-03,2018-07-03,4,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1578.85,1,0.0,526
58894,231176,231176,2018-02-23,2018-02-23,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1270.8,1,0.0,526
58896,222047,222047,2017-12-11,2017-12-11,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1279.91,1,0.0,526
58897,222179,222179,2017-12-11,2017-12-11,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1286.01,1,0.0,526
58898,219339,219339,2017-11-29,2017-11-29,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,526
58899,219379,219379,2017-11-24,2017-11-24,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,526
58900,224208,224208,2017-12-27,2017-12-27,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1275.3,1,0.0,527
58958,228450,228450,2018-01-30,2018-01-30,1,MFP001,MY FIREPLACE PRODUCTS/MES PRODUITS DE FOYER INC.,DETI,CA,ST-AUGUSTIN-DE-DESMAURES,QUEBEC,G3A 2H3,"250, RUE DE COPENHAGUE",DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1199.0,1,0.0,527
58959,231243,231243,2018-02-26,2018-02-26,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1526.58,1,0.0,527
58960,232180,232180,2018-03-09,2018-03-09,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1561.43,1,0.0,527
58968,238273,238273,2018-07-05,2018-07-05,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1578.73,1,0.0,527
58972,238731,238731,2018-07-16,2018-07-16,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1580.53,1,0.0,527
59012,239334,239334,2018-07-30,2018-07-30,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1569.48,1,0.0,527
59013,239603,239603,2018-08-06,2018-08-06,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1561.43,1,0.0,527
59021,240261,240261,2018-08-16,2018-08-16,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1577.77,1,0.0,527
59026,240532,240532,2018-08-21,2018-08-21,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1569.6,1,0.0,527
59065,241331,241331,2018-08-29,2018-08-29,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1553.98,1,0.0,527
59066,224717,224717,2018-01-03,2018-01-03,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1273.5,1,0.0,527
59067,224885,224885,2018-01-18,2018-01-18,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1273.5,1,0.0,527
59068,225688,225688,2018-01-18,2018-01-18,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1273.5,1,0.0,527
59072,235274,235274,2018-04-24,2018-04-24,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1276.2,1,0.0,527
59075,227539,227539,2018-01-22,2018-01-22,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1242.58,1,0.0,528
59076,227625,227625,2018-01-23,2018-01-23,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,528
59077,228403,228403,2018-01-30,2018-01-30,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1232.98,1,0.0,528
59078,235460,235460,2018-04-26,2018-04-26,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1283.91,1,0.0,528
59100,236837,236837,2018-05-29,2018-05-29,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1289.01,1,0.0,530
59104,218265,218265,2017-11-22,2017-11-22,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1268.9,1,0.0,530
59106,236502,236502,2018-05-17,2018-05-17,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1280.01,1,0.0,530
59122,233937,233937,2018-04-04,2018-04-04,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03071,SBI,DB03071,LÉGENDE II POÊLE À BOIS AVEC VENTILATEUR,1005.11,1,0.0,532
59125,236066,236066,2018-05-08,2018-05-08,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03071,SBI,DB03071,LÉGENDE II POÊLE À BOIS AVEC VENTILATEUR,1004.95,1,0.0,532
59153,181620,181620,2016-08-15,2016-08-15,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03041,SBI,DB03041,BALTIC II POÊLE À BOIS,1454.62,1,0.0,533
59154,191061,191061,2016-11-22,2016-11-22,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03041,SBI,DB03041,BALTIC II POÊLE À BOIS,1492.97,1,0.0,533
59155,192743,192743,2016-12-06,2016-12-06,1,CAN100-CONSO,CANAC-MARQUIS GRENIER LTEE,DETI,CA,ANCIENNE-LORETTE,,G2E 5W2,6245 BOUL. WILFRID-HAMEL C.P. 400,DB03041,SBI,DB03041,BALTIC II POÊLE À BOIS,1038.0,1,0.0,533
59156,202421,202421,2017-03-28,2017-03-28,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03041,SBI,DB03041,BALTIC II POÊLE À BOIS,1477.39,1,0.0,533
59157,205022,205022,2017-05-24,2017-05-24,1,CAN100-CONSO,CANAC-MARQUIS GRENIER LTEE,DETI,CA,ANCIENNE-LORETTE,,G2E 5W2,6245 BOUL. WILFRID-HAMEL C.P. 400,DB03041,SBI,DB03041,BALTIC II POÊLE À BOIS,1038.0,1,0.0,533
59163,241558,241558,2018-08-30,2018-08-30,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1551.33,1,0.0,534
59164,270845,270845,2019-05-08,2019-05-08,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB03031,SBI,DB03031,AUSTRAL II POÊLE À BOIS,1394.24,1,0.0,534
59165,237363,237363,2018-06-11,2018-06-11,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1298.42,1,0.0,535
59196,238003,238003,2018-06-27,2018-06-27,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1328.34,1,0.0,536
59197,238193,238193,2018-07-03,2018-07-03,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1314.83,1,0.0,536
59198,266700,266700,2019-03-04,2019-03-04,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB03031,SBI,DB03031,AUSTRAL II POÊLE À BOIS,1377.77,1,0.0,536
59199,251936,251936,2018-11-05,2018-11-05,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,536
59203,251349,251349,2018-10-31,2018-10-31,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,536
59204,251372,251372,2018-10-31,2018-10-31,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,536
59239,250828,250828,2018-10-29,2018-10-29,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,537
59240,251059,251059,2018-10-30,2018-10-30,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1309.42,1,0.0,537
59241,250254,250254,2018-10-25,2018-10-25,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1309.02,1,0.0,537
59246,239482,239482,2018-08-02,2018-08-02,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03071,SBI,DB03071,LÉGENDE II POÊLE À BOIS AVEC VENTILATEUR,1014.0,1,0.0,537
59247,239854,239854,2018-08-09,2018-08-09,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03071,SBI,DB03071,LÉGENDE II POÊLE À BOIS AVEC VENTILATEUR,1018.68,1,0.0,537
59248,241583,241583,2018-08-31,2018-08-31,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03071,SBI,DB03071,LÉGENDE II POÊLE À BOIS AVEC VENTILATEUR,1007.06,1,0.0,537
59255,238627,238627,2018-07-12,2018-07-12,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,537
59291,238628,238628,2018-07-12,2018-07-12,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1321.53,1,0.0,537
59292,238730,238730,2018-07-16,2018-07-16,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1316.23,1,0.0,537
59294,240440,240440,2018-08-20,2018-08-20,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1307.12,1,0.0,537
59295,240443,240443,2018-08-20,2018-08-20,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1307.12,1,0.0,537
59296,240784,240784,2018-08-23,2018-08-23,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1305.12,1,0.0,537
59297,240971,240971,2018-08-27,2018-08-27,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,537
59298,240985,240985,2018-08-27,2018-08-27,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1303.62,1,0.0,537
59299,248899,248899,2018-10-19,2018-10-19,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1294.31,1,0.0,537
59300,243380,243380,2018-09-17,2018-09-17,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1304.72,1,0.0,537
59301,243615,243615,2018-09-18,2018-09-18,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,537
59302,243994,243994,2018-09-20,2018-09-20,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1298.62,1,0.0,537
59303,244071,244071,2018-09-20,2018-09-20,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1292.71,1,0.0,537
59304,244187,244187,2018-09-21,2018-09-21,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,537
59305,244395,244395,2018-09-24,2018-09-24,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1292.61,1,0.0,537
59306,244415,244415,2018-09-24,2018-09-24,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,537
59307,244446,244446,2018-09-24,2018-09-24,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1292.61,1,0.0,537
59308,244449,244449,2018-09-24,2018-09-24,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1292.61,1,0.0,537
59309,245147,245147,2018-09-27,2018-09-27,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1295.72,1,0.0,537
59345,246820,246820,2018-10-09,2018-10-09,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,537
59347,247995,247995,2018-10-15,2018-10-15,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1303.72,1,0.0,537
59348,247998,247998,2018-10-15,2018-10-15,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1303.72,1,0.0,537
59349,249492,249492,2018-10-22,2018-10-22,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1311.93,1,0.0,537
59350,245773,245773,2018-10-01,2018-10-01,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,537
59351,245783,245783,2018-10-01,2018-10-01,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,537
59352,245921,245921,2018-10-02,2018-10-02,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1292.41,1,0.0,537
59354,246907,246907,2018-10-09,2018-10-09,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1295.92,1,0.0,537
59356,247518,247518,2018-10-11,2018-10-11,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,537
59357,248433,248433,2018-10-16,2018-10-16,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1299.32,1,0.0,537
59361,254833,254833,2018-11-21,2018-11-21,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,537
59460,241771,241771,2018-09-04,2018-09-04,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,537
59461,241795,241795,2018-09-04,2018-09-04,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1305.52,1,0.0,537
59466,243057,243057,2018-09-21,2018-09-21,3,MFP001,MY FIREPLACE PRODUCTS/MES PRODUITS DE FOYER INC.,DETI,CA,ST-AUGUSTIN-DE-DESMAURES,QUEBEC,G3A 2H3,"250, RUE DE COPENHAGUE",DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,18992.4,20,0.0,539
59476,243374,243374,2018-09-17,2018-09-17,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1566.71,1,0.0,539
59480,167906,167906,2016-02-25,2016-02-25,1,MFA600,MY FIREPLACE AUSTRALIA LTD,DETI,AU,PAKENHAM,,3810,FACTORY 2/5-7 HOGAN COURT,AC01367,SBI,AC01367,ENSEMBLE DE PANNEAUX ÉMAILLÉ ROUGE,1108.73,8,0.0,97
59521,244190,244190,2018-09-21,2018-09-21,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB07200,SBI,DB07200,HT2000 POÊLE À BOIS,1550.97,1,0.0,540
59613,251977,251977,2018-11-21,2018-11-21,3,WWWUS,WEB US,DETI,CA,,,,,DB03125,SBI,DB03125,ESCAPE 1800-I WOOD INSERT,1571.05,1,0.0,542
59614,210088,210088,2017-09-13,2017-09-13,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1212.96,1,0.0,542
59615,210091,210091,2017-09-13,2017-09-13,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1212.96,1,0.0,542
59616,210417,210417,2017-09-18,2017-09-18,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1218.47,1,0.0,542
59619,209327,209327,2017-09-07,2017-09-07,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,543
59621,123377,123377,2014-03-06,2014-03-06,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB07200K,SBI,DB07200K,HT2000 + ensemble spécial,1117.02,1,0.0,543
59622,121170,121170,2014-02-11,2014-02-11,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB07200K,SBI,DB07200K,HT2000 + ensemble spécial,1117.02,1,0.0,543
59624,244269,244269,2018-09-24,2018-09-24,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03071,SBI,DB03071,LÉGENDE II POÊLE À BOIS AVEC VENTILATEUR,1006.82,1,0.0,544
59625,244445,244445,2018-09-24,2018-09-24,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03071,SBI,DB03071,LÉGENDE II POÊLE À BOIS AVEC VENTILATEUR,1007.6,1,0.0,544
59662,124521,124521,2014-03-24,2014-03-24,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB07200K,SBI,DB07200K,HT2000 + ensemble spécial,1117.02,1,0.0,544
59664,209257,209257,2017-09-06,2017-09-06,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,545
59665,210560,210560,2017-09-18,2017-09-18,4,HOM300,HOME DEPOT.COM,DETI,US,ATLANTA,,30348-5715,EXPENSE DEPT.,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1219.07,1,0.0,545
59666,116974,116974,2014-01-16,2014-01-16,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB07200K,SBI,DB07200K,HT2000 + ensemble spécial,1117.02,1,0.0,545
59671,214968,214968,2017-10-24,2017-10-24,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,545
59672,215698,215698,2017-11-01,2017-11-01,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,545
59673,215709,215709,2017-10-30,2017-10-30,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,545
59674,216035,216035,2017-11-01,2017-11-01,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,545
59676,216404,216404,2017-11-02,2017-11-02,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1145.0,1,0.0,545
